,formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
1006,MnGaFe2,cF16,Fm-3m,mp-1018046,525371.0,-0.057999999999999996,-0.06796609,-0.07357737
1007,Fe2GaNi,cP2,Pm-3m,,,-0.1513,,
1008,Fe2NiSi,cP2,Pm-3m,,,-0.2767,,
1009,Fe2GaV,cP2,Pm-3m,,,-0.3109,,
1010,Mn2GaCo,cF16,F-43m,mp-20160,20349.0,-0.1182,-0.00660202,-0.17154466
1011,Mn2NiSn,cF16,F-43m,,676576.0,-0.2166,,0.04352649
1012,Mn2VGa,cF16,Fm-3m,mp-21235,17257.0,-0.2218,-0.22451226,-0.22432807
1013,Au4In3Sn3,hP10,P63/mmc,,,-0.2176,,
1014,SnAu,hP4,P63/mmc,mp-1775,10120.0,-0.1596,-0.1827522,-0.22961262
1015,Sn2Au,oP24,Pbca,mp-1462,10801.0,-0.1472,-0.12815058,-0.19073514
1016,Sn4Au,oS20,Ccce,mp-1393,19456.0,-0.0819,-0.0691933,-0.14436161
1017,SnAu5,hR18,R32,mp-30418,10803.0,-0.0601,-0.04715316,-0.06419591
1018,Au5Sn,hP2,P63/mmc,,,-0.0135,,
1019,Fe3Pt,cP4,Pm-3m,mp-1649,30238.0,-0.0964,-0.08104349,-0.08061884
1020,FePt,tP2,P4/mmm,mp-2260,110129.0,,-0.23952203,-0.24057406
1021,FePt3,cP4,Pm-3m,mp-649,7825.0,,0.08097756,-0.20058362
1022,AlNd2,oP12,Pnma,,,-1.0733,,
1023,Li2Ca,hP12,P63/mmc,mp-570466,,,-0.01687109,
1024,Li2Ca,hP12,P63/mmc,mp-570466,,,-0.01687109,
1025,B3Li,tP20,P4/mbm,,689212.0,-0.4519,,-0.23996133
1026,B14Li3,tI160,I-42d,,,-0.3441,,
1027,B13Li,hR357,R-3m,,,-0.1461,,
1028,Al2Fe,aP18,P1,,,-0.2881,,
1029,Al5Fe2,oS24,Cmcm,,,-0.3161,,
1030,Li13Si4,oP34,Pbam,mp-672287,31357.0,-0.3151,-0.24844258,-0.25311439
1031,Li7Si3,hR21,R-3m,,,-0.3047,,
1032,Li12Si7,oP152,Pnma,mp-1314,7559.0,-0.2653,-0.24244816,-0.23955457
1033,Li22Si5,cF416,F-43m,mp-542598,,-0.2529,-0.1959975,
1034,AlNi,cP2,Pm-3m,mp-1487,94913.0,-0.6871,-0.65864811,-0.66944636
1035,AlNi3,cP4,Pm-3m,mp-2593,17890.0,-0.4198,-0.43251692,-0.43864812
1036,TiAl2Ni,cF116,Fm-3m,,509949.0,-0.4218,,-0.33701128
1037,AlNiTi,hP12,P63/mmc,,,-0.5897,,
1038,AlNiTi,hP12,P63/mmc,,,,,
1039,TiAlNi2,cF16,Fm-3m,mp-7187,21081.0,-0.7473,-0.62052541,-0.64117697
1040,ZrMn2,,,,,-0.256,,
1041,ZrMo2,cF24,Fd-3m,mp-2049,17718.0,-0.0601,-0.12738089,-0.13765654
1042,Os4Zr11,cF120,Fm-3m,,,-0.0922,,
1043,HfCr2,,,,,-0.0497,,
1044,HfMn2,hP12,P63/mmc,mp-11449,17364.0,-0.2104,-0.26402934,-0.25512470000000004
1045,HfMo2,cF24,Fd-3m,mp-2363,17365.0,-0.0663,-0.16067013,-0.1700668
1046,NbRh3,,,,,-0.2239,,
1047,TaRh3,cP4,Pm-3m,mp-1020,18066.0,-0.1451,-0.61434864,-0.61292525
1048,Mn2Nb,hP12,P63/mmc,mp-12659,19107.0,-0.1078,-0.13790279,-0.14415719
1049,MoRh,oP4,Pmma,mp-12595,18874.0,-0.0497,-0.1906269,-0.19700494
1050,MnPd,cP2,Pm-3m,mp-1902,90200.0,-0.4685,-0.18880831,-0.19334822
1051,MoPd2,oI6,Immm,,,-0.0954,,
1052,TaMn2,hP12,P63/mmc,mp-12678,19153.0,-0.1503,-0.22563882,-0.22469722
1053,IrMn3,cP4,Pm-3m,,,-0.1368,,
1054,CrPt3,cP4,Pm-3m,mp-2515,29575.0,-0.0912,-0.25815540000000003,-0.25473662
1055,MnPt,tP2,P4/mmm,mp-1670,668583.0,-0.5555,-0.35329579,-0.35251563
1056,MoPt,oP4,Pmma,mp-999502,,-0.1855,-0.31842792,
1057,TaPt3,mP16,P121/m1,mp-567638,,-0.2187,-0.72230996,
1058,YMn2,cF24,Fd-3m,mp-558,,-0.028999999999999998,0.16239360000000003,
1059,CoCr,tP30,P42/mnm,,,-0.0031,,
1060,CuMn,cF4,Fm-3m,,,-0.0383,,
1061,Cu3Sn,oS80,Cmcm,,,-0.1078,,
1062,TbFe2,,,,,-0.057,,
1063,DyFe2,cF24,Fd-3m,mp-1757,29839.0,-0.0166,-0.08229063,-0.07837486
1064,Tb2Fe17,,,,,-0.0218,,
1065,Dy2Fe17,,,,,-0.0549,,
1066,FePd3,cP4,Pm-3m,mp-21845,30235.0,-0.1658,-0.11839909,-0.10785679
1067,FePt,tP2,P4/mmm,mp-2260,110129.0,-0.2384,-0.23952203,-0.24057406
1068,FePt3,cP4,Pm-3m,mp-649,7825.0,-0.2145,0.08097756,-0.20058362
1069,MnNi,tP2,P4/mmm,mp-1797,17670.0,-0.2581,-0.03866552,-0.01265056
1070,TiNi,cP2,Pm-3m,mp-571,116608.0,-0.3389,-0.34371282,-0.37801940000000006
1071,TiPd,,,,,-0.625,,
1072,CeCo5,hP6,P6/mmm,mp-764,,-0.0974,-0.10506817,
1073,Ce2Co17,,,,,-0.0705,,
1074,PrCo5,hP6,P6/mmm,mp-2837,31347.0,-0.1088,-0.00869899,0.10190198
1075,Pr2Co17,hR19,R-3m,,29447.0,-0.0705,,-0.05120681
1076,NdCo5,hP6,P6/mmm,mp-569,18557.0,-0.1316,-0.02884124,0.07583558
1077,Nd2Co17,hR19,R-3m,mp-356,29416.0,-0.0684,-0.04709472,0.12501809
1078,SmCo5,hP6,P6/mmm,mp-1429,,-0.1264,-0.05964595,
1079,Sm2Co17,,,,,-0.0746,,
1080,Co5Gd,hP6,P6/mmm,,18800.0,-0.1036,,0.01275074
1081,TbCo5,hP6,P6/mmm,mp-1200,31309.0,-0.1524,-0.09841932,0.11207467
1082,Tb2Co17,,,,,-0.0798,,
1083,Co17Dy2,,,,,-0.084,,
1084,HoCo3,hR12,R-3m,mp-30558,31229.0,-0.1814,-0.18762872,-0.20234444
1085,Co3Er,hR12,R-3m,mp-411,113163.0,-0.2042,-0.20561058,-0.21463602
1086,TmCo3,hR12,R-3m,,29523.0,-0.2373,,-0.2299119
1087,Co3Lu,hR12,R-3m,,29389.0,-0.2384,,-0.24771716
1088,HfAlAu2,cF16,Fm-3m,mp-10872,10385.0,-0.626,-0.50109168,-0.50464884
1089,Fe2RuSi,cF16,Fm-3m,,526506.0,-0.3109,,-0.05831597
1090,Fe2RuGe,cF16,F-43m,,,-0.1669,,
1091,Pd2CuAl,tP2,P4/mmm,,,-0.5721,,
1092,HfAlPd2,cF16,Fm-3m,mp-16501,10474.0,-0.8457,-0.8315606,-0.82956983
1093,Pd2HfGa,cF16,Fm-3m,,468834.0,-0.8281,,-0.74053448
1094,Pd2HfIn,cF16,Fm-3m,mp-864734,467796.0,-0.7918,-0.69834147,-0.69394758
1095,HfSnPd2,cF16,Fm-3m,,463005.0,-0.8043,,-0.72693835
1096,Pd2MnAl,cP2,Pm-3m,,,-0.9027,,
1097,Pd2MnGa,cP2,Pm-3m,,,-0.5649,,
1098,Pd2MnIn,cP2,Pm-3m,,,-0.4249,,
1099,MnSnPd2,cF16,Fm-3m,mp-20481,30746.0,-0.5659,-0.4152267,-0.43623346
1100,Pd2TiAl,cP2,Pm-3m,,,-0.8436,,
1101,TiGaPd2,cF16,Fm-3m,mp-866140,463385.0,-0.6799,-0.66035607,-0.66685186
1102,TiInPd2,cF16,Fm-3m,mp-866168,463323.0,-0.4249,-0.5749228,-0.58036463
1103,TiSnPd2,cF16,Fm-3m,mp-865679,464113.0,-0.8146,-0.6071031,-0.63046599
1104,ZrAlPd2,cF16,Fm-3m,mp-541047,10557.0,-0.8841,-0.80610144,-0.80304897
1105,ZrGaPd2,cF16,Fm-3m,mp-972183,463371.0,-0.7898,-0.7250791999999999,-0.7232613
1106,ZrInPd2,cF16,Fm-3m,mp-977475,463998.0,-0.882,-0.70439622,-0.69578426
1107,ZrSnPd2,cF16,Fm-3m,mp-977568,463248.0,-0.9556,-0.73463303,-0.75081076
1108,Pt2MnGa,,,,,-0.5814,,
1109,Ru2FeAl,cP2,Pm-3m,,,-0.2767,,
1110,Ru2FeSi,cP2,Pm-3m,,,-0.2954,,
1111,Ru2FeGe,cF16,Fm-3m,mp-865191,503820.0,-0.2042,-0.15887265,-0.15820987
1112,Ru2HfAl,cP2,Pm-3m,,,-0.7338,,
1113,HfSnRu2,cF16,Fm-3m,mp-866219,502278.0,-0.2581,-0.64140667,-0.65579414
1114,Ru2MnAl,cP2,Pm-3m,,,-0.3348,,
1115,MnGaRu2,cF16,Fm-3m,mp-865140,502362.0,-0.2622,-0.25646363,-0.25392933
1116,MnSiRu2,cF16,Fm-3m,mp-864966,502597.0,-0.4768,-0.46129678,-0.46449838
1117,MnGeRu2,cF16,Fm-3m,mp-864936,503606.0,-0.3078,-0.26656891,-0.26434723
1118,MnSnRu2,cF16,Fm-3m,mp-864971,503527.0,-0.2114,-0.11616176,-0.13254978
1119,Ru2TiAl,cP2,Pm-3m,,,-0.6498,,
1120,TiSiRu2,cF16,Fm-3m,mp-865681,502620.0,-0.9836,-0.89107675,-0.9041485
1121,TiGeRu2,cF16,Fm-3m,mp-865640,503536.0,-0.8198,-0.69907969,-0.71557854
1122,TiSnRu2,cF16,Fm-3m,mp-865888,503388.0,-0.6281,-0.58413435,-0.6117019
1123,Ru2VAl,cP2,Pm-3m,,,-0.3203,,
1124,VSiRu2,cF16,Fm-3m,mp-865507,502753.0,-0.5794,-0.56948287,-0.56545621
1125,VGeRu2,cF16,Fm-3m,mp-865585,503010.0,-0.3327,-0.35868372,-0.33464862
1126,VSnRu2,cF16,Fm-3m,,504149.0,-0.2187,,-0.190743
1127,Ru2ZrAl,cP2,Pm-3m,,,-0.6685,,
1128,Sc5Pb3,hP16,P63/mcm,mp-510209,,-0.6353,-0.47463249,
1129,PbTi4,hP8,P63/mmc,,,-0.172,,
1130,Y5Pb3,hP16,P63/mcm,,30931.0,-0.6716,,-0.59163632
1131,Zr5Pb3,hP16,P63/mcm,mp-681992,,-0.5244,-0.14045965,
1132,Nb3Pb,cP8,Pm-3n,mp-22068,17740.0,-0.1078,0.13181374,0.11097907
1133,RhPb,hP6,P6/mmm,mp-442,,-0.171,-0.09252528,
1134,Pd3Pb,cP4,Pm-3m,mp-20849,7834.0,-0.3068,-0.30894702,-0.29965135
1135,PtPb,hP4,P63/mmc,mp-21380,669812.0,-0.3596,0.02424395,0.07791212
1136,CuSnRh2,cF16,Fm-3m,mp-30595,17162.0,-0.3016,-0.35656496,-0.38480311
1137,Rh2FeAl,cP2,Pm-3m,,,-0.5027,,
1138,Rh2FeGa,cP2,Pm-3m,,,-0.3223,,
1139,FeSnRh2,tI8,I4/mmm,mp-1018062,,-0.2995,-0.30551500000000004,
1140,Rh2MnAl,cP2,Pm-3m,,,-0.7504,,
1141,Rh2MnGa,cP2,Pm-3m,,,-0.5731,,
1142,Rh2MnIn,cP2,Pm-3m,,,-0.3659,,
1143,MnGeRh2,cF16,Fm-3m,mp-4664,647271.0,-0.57,-0.44292375,-0.44947884
1144,MnSnRh2,cF16,Fm-3m,mp-4990,17688.0,-0.4156,-0.44010532,-0.46709352
1145,Rh2TiAl,cP2,Pm-3m,,,-1.0116,,
1146,Rh2TiGa,cP2,Pm-3m,,,-0.8188,,
1147,Rh2TiSn,tI8,I4/mmm,,,-0.7742,,
1148,VSnRh2,tI8,I4/mmm,mp-669918,18063.0,-0.4643,-0.41636787,-0.43863856
1149,VGaNi2,cF16,Fm-3m,mp-30658,17275.0,-0.2228,-0.28814787,-0.28700053
1150,VNi2Sn,cF16,Fm-3m,mp-20864,17820.0,-0.2508,-0.1140145,-0.14172739999999998
1151,VFe2Sn,cF16,Fm-3m,mp-636359,17233.0,-0.0383,0.04401775,-0.01862392
1152,Fe2VAl,cP2,Pm-3m,,,-0.2487,,
1153,Fe2NiAl,cP2,Pm-3m,,,-0.3203,,
1154,Fe2CuAl,cP2,Pm-3m,,,-0.2425,,
1155,Fe2MnAl,cP2,Pm-3m,,,-0.0943,,
1156,Mn2RuSi,,,,,-0.3835,,
1157,Mn2SnRu,cF16,F-43m,mp-999557,,-0.1803,0.07886879,
1158,Mn0.2Ni0.55Sn0.25,cF16,Fm-3m,,,-0.2757,,
1159,Mn0.30Ni0.45Sn0.25,cF16,Fm-3m,,,-0.285,,
1160,Mn0.35Ni0.4Sn0.25,cF16,Fm-3m,,,-0.2757,,
1161,Mn3Ni5Sn2,cF16,Fm-3m,,,-0.2176,,
1162,Mn0.35Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2083,,
1163,TiGaNi2,cF16,Fm-3m,mp-30657,17273.0,-0.4405,-0.53975432,-0.56136537
1164,TiInNi2,cF16,Fm-3m,mp-22463,55528.0,-0.2954,-0.34461536,-0.36462902
1165,TiNi2Sn,cF16,Fm-3m,mp-3740,17816.0,-0.485,-0.43329163,-0.47901202
1166,MnAlIr2,cF16,Fm-3m,mp-864950,458527.0,-0.6716,-0.57404936,-0.5817824
1167,MnGaIr2,cF16,Fm-3m,mp-865088,457980.0,-0.2218,-0.33127356,-0.34589253
1168,InMnPt2,,,,,-0.484,,
1169,CuInRh2,cP2,Pm-3m,,,-0.2322,,
1170,MnSnAu,cF12,F-43m,mp-22027,647441.0,-0.5016,-0.0448774,-0.07865257
1171,TiCoSn,cF12,F-43m,mp-20453,860363.0,-0.4415,0.31134766,-0.37599542
1172,MnGaIr,cF12,F-43m,,684862.0,-0.4239,,0.06719219
1173,MnSnIr,cF12,F-43m,mp-11480,17497.0,-0.3047,0.29446035,0.2571392
1174,ZrSnIr,hP18,P-62c,mp-607139,24958.0,-0.9235,-0.73836035,-0.77341546
1175,HfNiSn,cF12,F-43m,mp-924128,667584.0,-0.6488,-0.63230214,0.13071924
1176,TiNiSn,cF12,F-43m,mp-924130,115027.0,-0.5452,-0.52801859,-0.58058168
1177,ZrNiSn,cF12,F-43m,mp-924129,676556.0,-0.7214,-0.68398515,-0.71904526
1178,HfSnPd,cF12,F-43m,mp-11869,18376.0,-0.7089,-0.72360596,-0.7517316999999999
1179,PdSnZr,cP2,Pm-3m,,,-0.8975,,
1180,HfSnPt,cF12,F-43m,mp-20889,566182.0,-1.024,-0.27783584,-1.01509825
1181,MnGaPt,hP6,P63/mmc,mp-569151,17256.0,-0.6084,-0.45781977,-0.45820489999999997
1182,MnSnPt,cF12,F-43m,mp-21418,17683.0,-0.5783,-0.33896264,-0.36926039
1183,TiSnPt,cF12,F-43m,mp-30847,18005.0,-0.9701,-0.83028347,-0.87088914
1184,ZrSnPt,cF12,F-43m,mp-961713,566429.0,-1.0872,-1.02254305,-1.05425069
1185,Co0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.1969,,
1186,Co0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.1855,,
1187,Co0.75Ni1.25MnSn,cF16,Fm-3m,,,-0.2259,,
1188,CoNiMnSn,cF16,Fm-3m,,,-0.2094,,
1189,Co1.25Ni0.25MnSn,cF16,Fm-3m,,,-0.2197,,
1190,Co0.375Mn0.25Ni0.125Sn0.25,cF16,Fm-3m,,,-0.2384,,
1191,Co1.75Ni0.25MnSn,cF16,Fm-3m,,,-0.2581,,
1192,Ni2Mn0.25Ti0.75Sn,cF16,Fm-3m,,,-0.4353,,
1193,Ni2Mn0.5Ti0.5Sn,cF16,Fm-3m,,,-0.3451,,
1194,Ni2Mn0.75Ti0.25Sn,cF16,Fm-3m,,,-0.3451,,
1195,Ni0.25Pd1.75MnSn,cF16,Fm-3m,,,-0.5369,,
1196,Mn0.25Ni0.125Pd0.375Sn0.25,cF16,Fm-3m,,,-0.4871,,
1197,Mn0.25Ni0.1875Pd0.3125Sn0.25,cF16,Fm-3m,,,-0.4394,,
1198,NiPdMnSn,cF16,F-43m,,,-0.3887,,
1199,Mn0.25Ni0.3125Pd0.1875Sn0.25,cF16,Fm-3m,,,-0.3192,,
1200,Mn0.25Ni0.375Pd0.125Sn0.25,cF16,Fm-3m,,,-0.2985,,
1201,Mn0.25Ni0.4375Pd0.0625Sn0.25,cF16,Fm-3m,,,-0.2985,,
1202,In0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2353,,
1203,In0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2643,,
1204,In0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.2104,,
1205,In0.2Mn0.25Ni0.5Sn0.05,cF16,F-43m,,,-0.2674,,
1206,Al0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2684,,
1207,Al0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2954,,
1208,Al0.15Mn0.25Ni0.5Sn0.1,cP2,Pm-3m,,,-0.3337,,
1209,Al0.2Mn0.25Ni0.5Sn0.05,cP2,Pm-3m,,,-0.3296,,
1210,Ni2Mn0.2V0.8Sn,cF16,Fm-3m,,,-0.284,,
1211,Ni2Mn0.4V0.6Sn,cF16,Fm-3m,,,-0.2964,,
1212,Mn0.15Ni0.5Sn0.25V0.1,cF16,Fm-3m,,,-0.3285,,
1213,Mn0.2Ni0.5Sn0.25V0.05,cF16,Fm-3m,,,-0.2415,,
1214,Fe0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.2612,,
1215,Fe0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.2757,,
1216,Fe0.75Ni1.25MnSn,cF16,Fm-3m,,,-0.1814,,
1217,FeNiMnSn,cF16,Fm-3m,,,-0.1057,,
1218,Cu0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.2384,,
1219,Cu0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.2881,,
1220,Fe0.1875Mn0.25Ni0.3125Sn0.25,cF16,Fm-3m,,,-0.2747,,
1221,CuNiMnSn,cF16,Fm-3m,,,-0.2633,,
1222,Cu0.3125Mn0.25Ni0.1875Sn0.25,cF16,Fm-3m,,,-0.2881,,
1223,Cu0.375Mn0.25Ni0.125Sn0.25,cF16,Fm-3m,,,-0.2747,,
1224,Cu1.75Ni0.25MnSn,cF16,Fm-3m,,,-0.2757,,
1225,Ge0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2218,,
1226,Ge0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2829,,
1227,Ge0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.2498,,
1228,Ge0.2Mn0.25Ni0.5Sn0.05,cF16,Fm-3m,,,-0.3389,,
1229,Ni2MnSi0.2Sn0.8,cF16,Fm-3m,,,-0.2446,,
1230,Ga0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2477,,
1231,Ga0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2995,,
1232,Ga0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.3078,,
1233,Ga0.2Mn0.25Ni0.5Sn0.05,cF16,Fm-3m,,,-0.2892,,
1234,Ce5Pb3,hP16,P63/mcm,,690179.0,-0.7835,,-0.5320109000000001
1235,Pr5Pb3,hP16,P63/mcm,,,-0.8001,,
1236,Nd5Pb3,hP16,P63/mcm,,30804.0,-0.7773,,-0.54425795
1237,Sm5Pb3,hP16,P63/mcm,,,-0.7929,,
1238,Gd5Pb3,hP16,P63/mcm,,30399.0,-0.7979999999999999,,-0.55242522
1239,Tb5Pb3,hP16,P63/mcm,,30923.0,-0.7379,,-0.13671797
1240,Dy5Pb3,hP16,P63/mcm,mp-569760,29904.0,-0.7887,-0.54462748,-0.54011757
1241,Ho5Pb3,hP16,P63/mcm,mp-30730,17466.0,-0.7452,-0.53146096,-0.53073424
1242,Er5Pb3,hP16,P63/mcm,,30023.0,-0.7794,,-0.5183237
1243,Tm5Pb3,hP16,P63/mcm,,30928.0,-0.7939,,-0.49914195
1244,Lu5Pb3,hP16,P63/mcm,,30697.0,-0.7752,,-0.46361792
1245,Li17Sn4,cF420,F-43m,mp-573471,22905.0,-0.4156,-0.34836755,-0.35750635
1246,AgCa3,oS36,Cmcm,,,-0.1223,,
1247,Cu2NiSn,cF16,Fm-3m,mp-4367,19462.0,-0.1461,0.04125642,0.00643917
1248,Cu0.6Ni0.15Sn0.25,cF16,Fm-3m,,,-0.1213,,
1249,Cu0.4Ni0.35Sn0.25,cF16,Fm-3m,,,-0.1679,,
1250,Cu0.3Ni0.45Sn0.25,cF16,Fm-3m,,,-0.1897,,
1251,Cu0.12Ni0.63Sn0.25,oS12,Cmcm,,,-0.2239,,
1252,Cu0.05Ni0.7Sn0.25,hP8,P63/mmc,,,-0.2415,,
1253,Cu0.3Ni0.29Sn0.41,hP6,P63/mmc,,,-0.22899999999999998,,
1254,Cu0.2Ni0.39Sn0.41,hP6,P63/mmc,,,-0.2705,,
1255,Cu0.1Ni0.49Sn0.41,hP6,P63/mmc,,,-0.2995,,
1256,Cu0.275Ni0.27Sn0.455,hP6,P63/mmc,,,-0.1886,,
1257,Cu0.375Ni0.17Sn0.455,hP6,P63/mmc,,,-0.1679,,
1258,FeGe,hP6,P6/mmm,mp-22478,647200.0,-0.1613,-0.12579344,-0.12767187
1259,FeGe2,tI12,I4/mcm,mp-21117,7790.0,-0.3823,-0.06049156,-0.06497736
1260,AlLi,cF16,Fd-3m,mp-1067,2012.0,-0.2145,-0.17935152,-0.18612320000000002
1261,AlLi,cF16,Fd-3m,mp-1067,2012.0,,-0.17935152,-0.18612320000000002
1262,Al2Li3,hR15,R-3m,mp-16506,10488.0,-0.198,-0.18145293,-0.19199537
1263,Al4Li9,mS26,C12/m1,mp-568404,,-0.1565,-0.15599208,
1264,SmMg,cP2,Pm-3m,mp-2558,90153.0,-0.1917,-0.10785642,-0.1044123
1265,SmMg2,cF24,Fd-3m,mp-529,17651.0,-0.1658,-0.09464138,-0.09422897
1266,SmMg3,cF16,Fm-3m,mp-30779,17652.0,-0.1244,-0.110229,-0.10948037
1267,Mg5Sm,cF448,F-43m,,,-0.0881,,
1268,Mg41Sm5,tI92,I4/m,,,-0.057,,
1269,Ni3Ge,cP4,Pm-3m,mp-21008,17342.0,,-0.29182240000000004,-0.29969984
1270,Ge3Ni5,hP6,P63/mmc,,,,,
1271,Ge2Ni3,hP6,P63/mmc,,,,,
1272,NiGe,oP8,Pnma,mp-1099,646855.0,,-0.30645184,-0.31421743
1273,AlNd3,hP8,P63/mmc,,,-0.3131,,
1274,NbCr2,cF24,Fd-3m,mp-548,19373.0,-0.0301,-0.03087492,-0.04063231
1275,NbFe2,hP12,P63/mmc,mp-568901,30227.0,-0.141,-0.12231512,-0.12212013
