,formula,a_1,b_1,a_2,b_2,gap gllbsc
1252,SrZrSrSnO6,Sr,Zr,Sr,Sn,6.667386491
1253,SrZrSrTiO6,Sr,Zr,Sr,Ti,4.765770048
1254,SrZrTlNbO6,Sr,Zr,Tl,Nb,2.796095934
1255,SrZrTlTaO6,Sr,Zr,Tl,Ta,3.494338204
1256,SrZrYAlO6,Sr,Zr,Y,Al,7.46492109
1257,TlNbAgNbO6,Tl,Nb,Ag,Nb,1.863303536
1258,TlNbBaSnO6,Tl,Nb,Ba,Sn,2.988799268
1259,TlNbBaTiO6,Tl,Nb,Ba,Ti,2.22130272
1260,TlNbCaGeO6,Tl,Nb,Ca,Ge,2.121469287
1261,TlNbCaSiO6,Tl,Nb,Ca,Si,1.359093402
1262,TlNbCaSnO6,Tl,Nb,Ca,Sn,3.248956849
1263,TlNbCaTiO6,Tl,Nb,Ca,Ti,1.844661254
1264,TlNbGaNbO6,Tl,Nb,Ga,Nb,1.151941955
1265,TlNbLaAlO6,Tl,Nb,La,Al,2.155799154
1266,TlNbLaGaO6,Tl,Nb,La,Ga,2.713028066
1267,TlNbLaInO6,Tl,Nb,La,In,3.075158113
1268,TlNbLiNbO6,Tl,Nb,Li,Nb,1.438117049
1269,TlNbMgTiO6,Tl,Nb,Mg,Ti,1.737647718
1270,TlNbNaNbO6,Tl,Nb,Na,Nb,1.442237178
1271,TlNbNaSbO6,Tl,Nb,Na,Sb,1.927205191
1272,TlNbSnTiO6,Tl,Nb,Sn,Ti,2.310134428
1273,TlNbSrGeO6,Tl,Nb,Sr,Ge,2.080620924
1274,TlNbSrSiO6,Tl,Nb,Sr,Si,1.42267454
1275,TlNbSrSnO6,Tl,Nb,Sr,Sn,3.155717175
1276,TlNbSrTiO6,Tl,Nb,Sr,Ti,1.525019204
1277,TlNbTlTaO6,Tl,Nb,Tl,Ta,1.496019087
1278,TlNbYAlO6,Tl,Nb,Y,Al,2.005687868
1279,TlTaAgNbO6,Tl,Ta,Ag,Nb,1.792626623
1280,TlTaAgTaO6,Tl,Ta,Ag,Ta,2.28245774
1281,TlTaBaSnO6,Tl,Ta,Ba,Sn,3.305403
1282,TlTaCaGeO6,Tl,Ta,Ca,Ge,2.612967569
1283,TlTaCaSiO6,Tl,Ta,Ca,Si,2.222111758
1284,TlTaCaSnO6,Tl,Ta,Ca,Sn,3.614900816
1285,TlTaCaTiO6,Tl,Ta,Ca,Ti,1.862690557
1286,TlTaCsNbO6,Tl,Ta,Cs,Nb,2.310062164
1287,TlTaGaNbO6,Tl,Ta,Ga,Nb,1.474210517
1288,TlTaKNbO6,Tl,Ta,K,Nb,1.760951658
1289,TlTaKSbO6,Tl,Ta,K,Sb,2.0733894
1290,TlTaLaAlO6,Tl,Ta,La,Al,2.937475473
1291,TlTaLaGaO6,Tl,Ta,La,Ga,3.420622789
1292,TlTaLaInO6,Tl,Ta,La,In,3.687048868
1293,TlTaLiNbO6,Tl,Ta,Li,Nb,1.758171378
1294,TlTaMgTiO6,Tl,Ta,Mg,Ti,2.451618012
1295,TlTaNaNbO6,Tl,Ta,Na,Nb,1.760295096
1296,TlTaNaSbO6,Tl,Ta,Na,Sb,2.276086568
1297,TlTaPbTiO6,Tl,Ta,Pb,Ti,1.898800066
1298,TlTaPbZrO6,Tl,Ta,Pb,Zr,3.507812622
1299,TlTaSnHfO6,Tl,Ta,Sn,Hf,3.505613063
1300,TlTaSnTiO6,Tl,Ta,Sn,Ti,1.850789899
1301,TlTaSrGeO6,Tl,Ta,Sr,Ge,2.425121676
1302,TlTaSrSiO6,Tl,Ta,Sr,Si,2.29747616
1303,TlTaSrSnO6,Tl,Ta,Sr,Sn,3.507231154
1304,TlTaSrTiO6,Tl,Ta,Sr,Ti,1.87716885
1305,TlTaYAlO6,Tl,Ta,Y,Al,2.819711084
